id,word,jpn,count,isRemembered
129,gully,溝,0,
130,esprit,精神,0,
131,disband,解散する,0,
132,slither,ずるずる滑る,0,
133,axiomatic,自明の,0,
134,behead,首を切る,0,
135,snag,枝株,0,
136,outstrip,追い越す,0,
137,guilloche,組みひも飾り,0,
138,quail,ウズラ,0,
139,mutilation,切断,0,
140,dissonance,不協和音,0,
141,cystitis,膀胱炎,0,
142,wrongfully,不公正な,0,
143,contraption,からくり,0,
144,engender,発生させる,0,
145,isotopic,同位体の,0,
146,trite,ありふれた,0,
147,tawdry,けばけばしい,0,
148,outboard,船外の,0,
149,angelic,天使の,0,
150,rebuff,すげなく断る,0,
151,privatise,民営化する,0,
152,ensconce,おさまる,0,
153,stalwart,たくましい,0,
154,suffuse,覆う,0,
155,alacrity,敏速,0,
156,snippet,切れ端,0,
157,extricate,救い出す,0,
158,itchy,かゆい,0,
159,infertile,不毛の,0,
160,recluse,世捨て人,0,
161,chattel,家財,0,
162,redeemable,弁済できる,0,
163,subcutaneous,皮下の,0,
164,cuddle,抱きしめる,0,
165,revel,大いに楽しむ,0,
166,impale,突き刺す,0,
167,blindfold,目隠しする,0,
168,snugly,居心地よく,0,
169,flit,すいすい飛ぶ,0,
170,soberly,地道に,0,
171,delude,惑わす,0,
172,abseil,懸垂下降する,0,
173,whimper,すすり泣く,0,
174,haunch,臀部,0,
175,leniency,慈悲,0,
176,jaundice,ひがみ,0,
177,urethra,尿道,0,
178,wreak,浴びせる,0,
179,warbler,さえずる鳥,0,
180,concoct,でっちあげる,0,
181,pediatrician,小児科医,0,
182,excellency,閣下,0,
183,finery,華美な装飾品,0,
184,indoctorinate,教え込む,0,
185,circumspect,用心深い,0,
186,forgery,偽造,0,
187,conjugal,夫婦間の,0,
188,fleck,斑点,0,
189,permeate,しみ渡る,0,
190,urbane,上品な,0,
191,feign,ふりをする,0,
192,rapturous,有頂天の,0,
193,fidget,そわそわする,0,
194,dither,おろおろする,0,
195,puritanical,厳格な,0,
196,scavenge,清掃する,0,
197,flounder,もがく,0,
198,flout,ばかにする,0,
199,seditious,扇動的な,0,
200,servile,卑屈な,0,
201,eerily,不気味に,0,
202,abeyance,停止,0,
203,ludicrous,ばかげた,0,
204,shackle,手枷,0,
205,suppleness,しなやかさ,0,
206,deject,落胆させる,0,
207,daub,塗りつける,0,
208,genealogy,血筋,0,
209,wold,高原,0,
210,quibble,屁理屈,0,
